Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Spectral Count	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Unique Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_890 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_891 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124A_Slot1-7_1_892 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_893 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_894 MaxLFQ Total Intensity	20180809_120min_200ms_WEHI25_brute20k_timsON_100ng_HYE124B_Slot1-8_1_895 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|O75530|EED_HUMAN	O75530	EED_HUMAN	EED	441	31.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polycomb protein EED	1.0000	0.9990	13	99	99	99	17	17	16	16	17	16	17	17	16	16	17	16	17	17	16	16	17	16	258939.94	270343.22	273130.2	247790.88	246376.67	246459.52	258939.94	270343.22	273130.2	247790.88	246376.67	246459.52	258939.94	270343.22	273130.2	247790.88	246376.67	246459.52	120632.82	125313.25	121422.555	115378.97	120679.63	118706.914	120632.82	125313.25	121422.555	115378.97	120679.63	118706.914	120632.82	125313.25	121422.555	115378.97	120679.63	118706.914	
sp|O75531|BAF_HUMAN	O75531	BAF_HUMAN	BANF1	89	58.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Barrier-to-autointegration factor	1.0000	0.9990	5	99	99	99	15	20	12	18	19	15	15	20	12	18	19	15	15	20	12	18	19	15	1342619.6	1372224.4	1145177.4	1110406.0	1152739.5	1117843.1	1342619.6	1372224.4	1145177.4	1110406.0	1152739.5	1117843.1	1342619.6	1372224.4	1145177.4	1110406.0	1152739.5	1117843.1	639057.8	586183.2	537481.56	496193.8	494460.47	491490.5	639057.8	586183.2	537481.56	496193.8	494460.47	491490.5	639057.8	586183.2	537481.56	496193.8	494460.47	491490.5	
sp|O75533|SF3B1_HUMAN	O75533	SF3B1_HUMAN	SF3B1	1304	59.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor 3B subunit 1	1.0000	0.9990	48	555	555	555	99	93	93	89	92	89	99	93	93	89	92	89	99	93	93	89	92	89	1253055.2	1273303.9	1321843.8	1383841.5	1384632.5	1340879.4	1253055.2	1273303.9	1321843.8	1383841.5	1384632.5	1340879.4	1253055.2	1273303.9	1321843.8	1383841.5	1384632.5	1340879.4	630386.94	633560.94	611843.44	607921.4	598766.6	583400.4	630386.94	633560.94	611843.44	607921.4	598766.6	583400.4	630386.94	633560.94	611843.44	607921.4	598766.6	583400.4	
sp|O75534|CSDE1_HUMAN	O75534	CSDE1_HUMAN	CSDE1	798	46.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cold shock domain-containing protein E1	1.0000	0.9990	32	332	332	332	54	55	54	57	57	55	54	55	54	57	57	55	54	55	54	57	57	55	1250040.4	1226222.6	1238364.8	1265015.4	1268052.2	1258420.5	1250040.4	1226222.6	1238364.8	1265015.4	1268052.2	1258420.5	1250040.4	1226222.6	1238364.8	1265015.4	1268052.2	1258420.5	423278.0	427412.47	431209.66	440646.78	443916.88	440959.97	423278.0	427412.47	431209.66	440646.78	443916.88	440959.97	423278.0	427412.47	431209.66	440646.78	443916.88	440959.97	
sp|O75554|WBP4_HUMAN	O75554	WBP4_HUMAN	WBP4	376	11.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	WW domain-binding protein 4	1.0000	0.9990	3	13	13	13	4	2	3	1	2	1	4	2	3	1	2	1	4	2	3	1	2	1	137683.98	143338.19	131584.19	64916.953	127756.44	41887.777	137683.98	143338.19	131584.19	64916.953	127756.44	41887.777	137683.98	143338.19	131584.19	64916.953	127756.44	41887.777	62542.285	63147.69	56655.74	53299.48	58210.383	0.0	62542.285	63147.69	56655.74	53299.48	58210.383	0.0	62542.285	63147.69	56655.74	53299.48	58210.383	0.0	
sp|O75569|PRKRA_HUMAN	O75569	PRKRA_HUMAN	PRKRA	313	32.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	1.0000	0.9990	9	73	73	73	11	9	13	14	18	8	11	9	13	14	18	8	11	9	13	14	18	8	605861.0	224495.36	631987.8	358638.62	403870.28	438232.56	605861.0	224495.36	631987.8	358638.62	403870.28	438232.56	605861.0	224495.36	631987.8	358638.62	403870.28	438232.56	220061.14	202663.73	217795.12	207673.94	211596.39	210674.27	220061.14	202663.73	217795.12	207673.94	211596.39	210674.27	220061.14	202663.73	217795.12	207673.94	211596.39	210674.27	
sp|O75575|RPC9_HUMAN	O75575	RPC9_HUMAN	CRCP	148	34.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase III subunit RPC9	1.0000	0.9990	3	9	9	9	2	4	0	2	1	0	2	4	0	2	1	0	2	4	0	2	1	0	18735.996	19153.486	21081.871	13934.83	15111.143	0.0	18735.996	19153.486	21081.871	13934.83	15111.143	0.0	18735.996	19153.486	21081.871	13934.83	15111.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75600|KBL_HUMAN	O75600	KBL_HUMAN	GCAT	419	33.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	1.0000	0.9990	9	44	44	44	8	10	5	9	5	7	8	10	5	9	5	7	8	10	5	9	5	7	127027.19	126704.44	123259.875	123308.0	122662.5	121690.41	127027.19	126704.44	123259.875	123308.0	122662.5	121690.41	127027.19	126704.44	123259.875	123308.0	122662.5	121690.41	52696.336	51186.0	46499.03	45066.785	46422.266	49957.58	52696.336	51186.0	46499.03	45066.785	46422.266	49957.58	52696.336	51186.0	46499.03	45066.785	46422.266	49957.58	
sp|O75607|NPM3_HUMAN	O75607	NPM3_HUMAN	NPM3	178	51.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nucleoplasmin-3	1.0000	0.9990	5	65	65	65	12	11	11	9	9	13	12	11	11	9	9	13	12	11	11	9	9	13	832918.7	816360.0	839106.06	810825.2	830392.06	801054.9	832918.7	816360.0	839106.06	810825.2	830392.06	801054.9	832918.7	816360.0	839106.06	810825.2	830392.06	801054.9	404716.84	449002.97	361529.0	339444.44	360652.78	353937.4	404716.84	449002.97	361529.0	339444.44	360652.78	353937.4	404716.84	449002.97	361529.0	339444.44	360652.78	353937.4	
sp|O75608|LYPA1_HUMAN	O75608	LYPA1_HUMAN	LYPLA1	230	57.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-protein thioesterase 1	1.0000	0.9990	7	77	77	77	14	15	14	12	11	11	14	15	14	12	11	11	14	15	14	12	11	11	1018607.75	1021756.7	1038297.7	1026151.6	1016549.5	1041409.9	1018607.75	1021756.7	1038297.7	1026151.6	1016549.5	1041409.9	1018607.75	1021756.7	1038297.7	1026151.6	1016549.5	1041409.9	476818.25	522518.84	405344.5	386203.1	395986.53	363943.84	476818.25	522518.84	405344.5	386203.1	395986.53	363943.84	476818.25	522518.84	405344.5	386203.1	395986.53	363943.84	
sp|O75616|ERAL1_HUMAN	O75616	ERAL1_HUMAN	ERAL1	437	28.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	GTPase Era, mitochondrial	1.0000	0.9990	11	54	54	54	9	7	11	9	8	10	9	7	11	9	8	10	9	7	11	9	8	10	174793.33	201291.06	208893.58	223488.28	221606.25	230367.75	174793.33	201291.06	208893.58	223488.28	221606.25	230367.75	174793.33	201291.06	208893.58	223488.28	221606.25	230367.75	102214.48	106973.15	109424.375	115944.195	110458.77	116924.82	102214.48	106973.15	109424.375	115944.195	110458.77	116924.82	102214.48	106973.15	109424.375	115944.195	110458.77	116924.82	
sp|O75629|CREG1_HUMAN	O75629	CREG1_HUMAN	CREG1	220	19.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein CREG1	1.0000	0.9990	2	11	11	11	4	3	1	1	1	1	4	3	1	1	1	1	4	3	1	1	1	1	46423.03	42066.92	41028.71	36749.26	39844.914	37554.16	46423.03	42066.92	41028.71	36749.26	39844.914	37554.16	46423.03	42066.92	41028.71	36749.26	39844.914	37554.16	46423.03	42066.92	0.0	0.0	0.0	0.0	46423.03	42066.92	0.0	0.0	0.0	0.0	46423.03	42066.92	0.0	0.0	0.0	0.0	
sp|O75643|U520_HUMAN	O75643	U520_HUMAN	SNRNP200	2136	54.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	U5 small nuclear ribonucleoprotein 200 kDa helicase	1.0000	0.9990	88	889	889	889	142	154	151	143	152	147	142	154	151	143	152	147	142	154	151	143	152	147	1330190.0	1296455.5	1314026.0	1355328.0	1342852.9	1387028.8	1330190.0	1296455.5	1314026.0	1355328.0	1342852.9	1387028.8	1330190.0	1296455.5	1314026.0	1355328.0	1342852.9	1387028.8	558556.0	567733.56	560804.5	554681.4	546968.56	551401.6	558556.0	567733.56	560804.5	554681.4	546968.56	551401.6	558556.0	567733.56	560804.5	554681.4	546968.56	551401.6	
sp|O75663|TIPRL_HUMAN	O75663	TIPRL_HUMAN	TIPRL	272	48.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	TIP41-like protein	1.0000	0.9990	9	92	92	92	16	16	12	17	15	16	16	16	12	17	15	16	16	16	12	17	15	16	405176.25	423386.94	413322.66	413225.78	423609.7	422040.8	405176.25	423386.94	413322.66	413225.78	423609.7	422040.8	405176.25	423386.94	413322.66	413225.78	423609.7	422040.8	188701.33	193859.14	179156.17	174374.39	179427.06	177570.16	188701.33	193859.14	179156.17	174374.39	179427.06	177570.16	188701.33	193859.14	179156.17	174374.39	179427.06	177570.16	
sp|O75665|OFD1_HUMAN	O75665	OFD1_HUMAN	OFD1	1012	4.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Oral-facial-digital syndrome 1 protein	1.0000	0.9990	7	10	10	10	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	210929.56	236286.19	221536.22	34381.305	68328.66	91990.734	210929.56	236286.19	221536.22	34381.305	68328.66	91990.734	210929.56	236286.19	221536.22	34381.305	68328.66	91990.734	135790.2	127938.266	154542.53	94784.86	56470.387	69597.2	135790.2	127938.266	154542.53	94784.86	56470.387	69597.2	135790.2	127938.266	154542.53	94784.86	56470.387	69597.2	
sp|O75683|SURF6_HUMAN	O75683	SURF6_HUMAN	SURF6	361	18.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Surfeit locus protein 6	1.0000	0.9990	3	41	41	41	5	9	8	8	7	4	5	9	8	8	7	4	5	9	8	8	7	4	419903.0	425868.03	414145.38	436523.72	447204.2	420380.06	419903.0	425868.03	414145.38	436523.72	447204.2	420380.06	419903.0	425868.03	414145.38	436523.72	447204.2	420380.06	184153.36	189259.42	180329.97	198650.81	201016.92	189450.97	184153.36	189259.42	180329.97	198650.81	201016.92	189450.97	184153.36	189259.42	180329.97	198650.81	201016.92	189450.97	
sp|O75688|PPM1B_HUMAN	O75688	PPM1B_HUMAN	PPM1B	479	28.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase 1B	1.0000	0.9990	11	37	27	37	8	8	5	7	4	5	6	6	4	6	2	3	8	8	5	7	4	5	193141.47	193325.31	189911.9	195840.62	183140.34	181759.89	146614.9	140938.84	130481.11	139055.9	121129.24	121475.305	193141.47	193325.31	189911.9	195840.62	183140.34	181759.89	99463.06	93750.24	94915.8	106926.38	95959.89	96469.95	53555.387	51443.816	56922.516	55481.72	49156.168	48832.047	99463.06	93750.24	94915.8	106926.38	95959.89	96469.95	
sp|O75691|UTP20_HUMAN	O75691	UTP20_HUMAN	UTP20	2785	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Small subunit processome component 20 homolog	1.0000	0.9990	15	30	30	30	6	7	5	5	5	2	6	7	5	5	5	2	6	7	5	5	5	2	419542.22	581500.8	544281.9	592619.3	531806.6	374219.7	419542.22	581500.8	544281.9	592619.3	531806.6	374219.7	419542.22	581500.8	544281.9	592619.3	531806.6	374219.7	403997.62	355680.25	396569.2	322404.25	316876.47	323835.06	403997.62	355680.25	396569.2	322404.25	316876.47	323835.06	403997.62	355680.25	396569.2	322404.25	316876.47	323835.06	
sp|O75694|NU155_HUMAN	O75694	NU155_HUMAN	NUP155	1391	40.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear pore complex protein Nup155	1.0000	0.9990	38	327	327	327	54	58	57	58	53	47	54	58	57	58	53	47	54	58	57	58	53	47	649499.56	680362.7	673938.8	683572.6	659238.6	698112.5	649499.56	680362.7	673938.8	683572.6	659238.6	698112.5	649499.56	680362.7	673938.8	683572.6	659238.6	698112.5	231905.98	237687.14	236779.3	240966.67	230214.33	231476.61	231905.98	237687.14	236779.3	240966.67	230214.33	231476.61	231905.98	237687.14	236779.3	240966.67	230214.33	231476.61	
sp|O75717|WDHD1_HUMAN	O75717	WDHD1_HUMAN	WDHD1	1129	31.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	WD repeat and HMG-box DNA-binding protein 1	1.0000	0.9990	26	193	193	193	41	33	32	32	28	27	41	33	32	32	28	27	41	33	32	32	28	27	366355.12	351428.06	374629.94	344103.1	316604.28	347744.28	366355.12	351428.06	374629.94	344103.1	316604.28	347744.28	366355.12	351428.06	374629.94	344103.1	316604.28	347744.28	143697.02	141563.06	141782.97	137284.23	132125.38	131990.16	143697.02	141563.06	141782.97	137284.23	132125.38	131990.16	143697.02	141563.06	141782.97	137284.23	132125.38	131990.16	
sp|O75746|CMC1_HUMAN	O75746	CMC1_HUMAN	SLC25A12	678	26.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Calcium-binding mitochondrial carrier protein Aralar1	1.0000	0.9990	14	78	37	78	11	14	16	14	10	13	5	7	6	7	5	7	11	14	16	14	10	13	476521.56	270229.94	281428.72	635243.3	511837.28	510724.66	338232.88	131558.08	129101.95	486089.2	350242.44	314475.6	476521.56	270229.94	281428.72	635243.3	511837.28	510724.66	212236.8	223909.19	228410.67	222795.55	223459.47	223947.14	167913.72	174601.11	179333.34	161240.39	154830.31	150090.9	212236.8	223909.19	228410.67	222795.55	223459.47	223947.14	
sp|O75791|GRAP2_HUMAN	O75791	GRAP2_HUMAN	GRAP2	330	13.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	GRB2-related adapter protein 2	1.0000	0.9990	4	15	15	15	2	3	5	2	1	2	2	3	5	2	1	2	2	3	5	2	1	2	181916.8	222632.28	243471.94	141813.81	176019.5	185169.22	181916.8	222632.28	243471.94	141813.81	176019.5	185169.22	181916.8	222632.28	243471.94	141813.81	176019.5	185169.22	113896.81	114837.34	117514.07	92335.89	93078.59	102130.79	113896.81	114837.34	117514.07	92335.89	93078.59	102130.79	113896.81	114837.34	117514.07	92335.89	93078.59	102130.79	
sp|O75792|RNH2A_HUMAN	O75792	RNH2A_HUMAN	RNASEH2A	299	31.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease H2 subunit A	1.0000	0.9990	7	43	43	43	8	11	5	7	6	6	8	11	5	7	6	6	8	11	5	7	6	6	222557.27	219604.08	220614.03	223047.8	215474.73	211699.17	222557.27	219604.08	220614.03	223047.8	215474.73	211699.17	222557.27	219604.08	220614.03	223047.8	215474.73	211699.17	118294.734	116495.76	96184.414	125879.94	119682.32	118028.72	118294.734	116495.76	96184.414	125879.94	119682.32	118028.72	118294.734	116495.76	96184.414	125879.94	119682.32	118028.72	
sp|O75794|CD123_HUMAN	O75794	CD123_HUMAN	CDC123	336	33.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell division cycle protein 123 homolog	1.0000	0.9990	9	76	76	76	10	14	11	13	14	14	10	14	11	13	14	14	10	14	11	13	14	14	316073.62	347572.56	342726.44	365408.72	343715.44	338209.25	316073.62	347572.56	342726.44	365408.72	343715.44	338209.25	316073.62	347572.56	342726.44	365408.72	343715.44	338209.25	145409.7	151306.39	148108.36	157629.3	148466.39	155686.88	145409.7	151306.39	148108.36	157629.3	148466.39	155686.88	145409.7	151306.39	148108.36	157629.3	148466.39	155686.88	
sp|O75818|RPP40_HUMAN	O75818	RPP40_HUMAN	RPP40	363	38.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribonuclease P protein subunit p40	1.0000	0.9990	12	71	71	71	9	16	12	14	13	7	9	16	12	14	13	7	9	16	12	14	13	7	239898.33	268165.97	219256.36	230648.77	200613.88	179789.05	239898.33	268165.97	219256.36	230648.77	200613.88	179789.05	239898.33	268165.97	219256.36	230648.77	200613.88	179789.05	126368.26	138503.73	122066.625	112405.875	107829.32	100120.8	126368.26	138503.73	122066.625	112405.875	107829.32	100120.8	126368.26	138503.73	122066.625	112405.875	107829.32	100120.8	
sp|O75821|EIF3G_HUMAN	O75821	EIF3G_HUMAN	EIF3G	320	40.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G	1.0000	0.9990	10	230	230	230	41	43	35	33	37	41	41	43	35	33	37	41	41	43	35	33	37	41	1968529.0	1857781.4	2047103.8	1897281.8	1931092.8	1990569.6	1968529.0	1857781.4	2047103.8	1897281.8	1931092.8	1990569.6	1968529.0	1857781.4	2047103.8	1897281.8	1931092.8	1990569.6	771132.5	797329.75	760868.3	730031.2	739981.0	743585.56	771132.5	797329.75	760868.3	730031.2	739981.0	743585.56	771132.5	797329.75	760868.3	730031.2	739981.0	743585.56	
sp|O75822|EIF3J_HUMAN	O75822	EIF3J_HUMAN	EIF3J	258	53.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit J	1.0000	0.9990	12	136	136	136	23	26	20	22	23	22	23	26	20	22	23	22	23	26	20	22	23	22	2119248.8	2097621.5	2185977.0	2243612.5	2286359.5	2283449.8	2119248.8	2097621.5	2185977.0	2243612.5	2286359.5	2283449.8	2119248.8	2097621.5	2185977.0	2243612.5	2286359.5	2283449.8	802385.3	879441.1	791939.06	812913.2	851329.25	771104.0	802385.3	879441.1	791939.06	812913.2	851329.25	771104.0	802385.3	879441.1	791939.06	812913.2	851329.25	771104.0	
sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	51.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP] cytoplasmic	1.0000	0.9990	18	162	159	162	30	27	27	26	23	29	30	27	27	25	22	28	30	27	27	26	23	29	975873.6	935647.56	927300.5	920879.4	900979.1	923502.5	975873.6	935647.56	927300.5	920879.4	900979.1	923502.5	975873.6	935647.56	927300.5	920879.4	900979.1	923502.5	311234.5	323120.2	325304.78	328897.06	323449.25	324337.88	311234.5	323120.2	325304.78	328897.06	323449.25	324337.88	311234.5	323120.2	325304.78	328897.06	323449.25	324337.88	
sp|O75879|GATB_HUMAN	O75879	GATB_HUMAN	GATB	557	12.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	1.0000	0.9990	4	12	12	12	2	2	2	1	4	1	2	2	2	1	4	1	2	2	2	1	4	1	96231.75	105083.92	39073.586	0.0	95680.25	39187.344	96231.75	105083.92	39073.586	0.0	95680.25	39187.344	96231.75	105083.92	39073.586	0.0	95680.25	39187.344	45237.78	47143.15	45280.61	0.0	46656.562	35631.48	45237.78	47143.15	45280.61	0.0	46656.562	35631.48	45237.78	47143.15	45280.61	0.0	46656.562	35631.48	
sp|O75909|CCNK_HUMAN	O75909	CCNK_HUMAN	CCNK	580	22.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cyclin-K	1.0000	0.9990	7	52	52	52	9	11	8	9	6	9	9	11	8	9	6	9	9	11	8	9	6	9	325282.38	391124.88	342757.1	223895.6	224547.31	244442.0	325282.38	391124.88	342757.1	223895.6	224547.31	244442.0	325282.38	391124.88	342757.1	223895.6	224547.31	244442.0	136681.4	131884.81	121762.57	118979.49	113184.516	115923.94	136681.4	131884.81	121762.57	118979.49	113184.516	115923.94	136681.4	131884.81	121762.57	118979.49	113184.516	115923.94	
sp|O75934|SPF27_HUMAN	O75934	SPF27_HUMAN	BCAS2	225	67.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor SPF27	1.0000	0.9990	13	107	107	107	20	18	16	19	16	18	20	18	16	19	16	18	20	18	16	19	16	18	843460.2	777550.0	807328.0	814331.25	751215.0	822177.3	843460.2	777550.0	807328.0	814331.25	751215.0	822177.3	843460.2	777550.0	807328.0	814331.25	751215.0	822177.3	301935.34	286578.16	285318.47	304566.0	290941.9	304777.84	301935.34	286578.16	285318.47	304566.0	290941.9	304777.84	301935.34	286578.16	285318.47	304566.0	290941.9	304777.84	
sp|O75935|DCTN3_HUMAN	O75935	DCTN3_HUMAN	DCTN3	186	26.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dynactin subunit 3	1.0000	0.9990	4	17	17	17	2	2	2	2	5	4	2	2	2	2	5	4	2	2	2	2	5	4	228388.56	186232.66	197024.53	220577.28	223183.34	213031.62	228388.56	186232.66	197024.53	220577.28	223183.34	213031.62	228388.56	186232.66	197024.53	220577.28	223183.34	213031.62	130224.74	106550.22	136649.03	138592.94	138254.08	146761.08	130224.74	106550.22	136649.03	138592.94	138254.08	146761.08	130224.74	106550.22	136649.03	138592.94	138254.08	146761.08	
sp|O75937|DNJC8_HUMAN	O75937	DNJC8_HUMAN	DNAJC8	253	42.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 8	1.0000	0.9990	11	97	97	97	16	14	14	16	19	18	16	14	14	16	19	18	16	14	14	16	19	18	310485.2	513500.12	535010.4	589335.8	644106.44	658796.4	310485.2	513500.12	535010.4	589335.8	644106.44	658796.4	310485.2	513500.12	535010.4	589335.8	644106.44	658796.4	188024.19	187800.2	198797.67	217300.9	232451.25	235067.77	188024.19	187800.2	198797.67	217300.9	232451.25	235067.77	188024.19	187800.2	198797.67	217300.9	232451.25	235067.77	
