Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Spectral Count	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Spectral Count	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Spectral Count	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Spectral Count	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Unique Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Unique Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Unique Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Unique Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Unique Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Unique Intensity	20211130_002_S326355_P3F_2_P3F__DOX___BP___H2O2 Total Intensity	20211130_004_S326356_P3F_3_P3F__DOX___BP___H2O2 Total Intensity	20211130_006_S326354_P3F_1_P3F__DOX___BP___H2O2 Total Intensity	20211130_008_S326359_PIPOX_3_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_011_S326352_dCas9_2_dCas9__DOX___BP___H2O2 Total Intensity	20211130_013_S326351_dCas9_1_dCas9__DOX___BP___H2O2 Total Intensity	20211130_015_S326357_PIPOX_1_dCas9_PIPOX__DOX__BP__H2O2 Total Intensity	20211130_017_S326358_PIPOX_2_dCas9_PIPOX__DOX__BP__H2O2_rep Total Intensity	20211130_020_S326353_dCas9_3_dCas9__DOX___BP___H2O2 Total Intensity	Indistinguishable Proteins
sp|Q16630|CPSF6_HUMAN	Q16630	CPSF6_HUMAN	CPSF6	551	7.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cleavage and polyadenylation specificity factor subunit 6	1.0000	0.9990	3	25	25	25	2	3	3	2	3	3	3	4	2	2	3	3	2	3	3	3	4	2	2	3	3	2	3	3	3	4	2	4.7193272E7	4.8920476E7	4.7282776E7	9.9442496E7	8.2345568E7	9.0432904E7	9.8131984E7	1.06120016E8	7.9545888E7	4.7193272E7	4.8920476E7	4.7282776E7	9.9442496E7	8.2345568E7	9.0432904E7	9.8131984E7	1.06120016E8	7.9545888E7	4.7193272E7	4.8920476E7	4.7282776E7	9.9442496E7	8.2345568E7	9.0432904E7	9.8131984E7	1.06120016E8	7.9545888E7	
sp|Q16637|SMN_HUMAN	Q16637	SMN_HUMAN	SMN1	294	9.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Survival motor neuron protein	1.0000	0.9990	3	12	12	12	0	0	0	1	2	1	2	5	1	0	0	0	1	2	1	2	5	1	0	0	0	1	2	1	2	5	1	0.0	1757351.8	0.0	5.5422612E7	5.8610052E7	5.7165764E7	7.104968E7	7.3797752E7	4.069508E7	0.0	1757351.8	0.0	5.5422612E7	5.8610052E7	5.7165764E7	7.104968E7	7.3797752E7	4.069508E7	0.0	1757351.8	0.0	5.5422612E7	5.8610052E7	5.7165764E7	7.104968E7	7.3797752E7	4.069508E7	
sp|Q16891|MIC60_HUMAN	Q16891	MIC60_HUMAN	IMMT	758	27.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	MIC	1.0000	0.9990	21	90	90	90	10	9	7	19	3	0	17	16	9	10	9	7	19	3	0	17	16	9	10	9	7	19	3	0	17	16	9	8.8026E7	1.01301088E8	4.8279292E7	3.3788768E8	1.43428992E8	1.13725776E8	3.1113776E8	2.94000992E8	2.33903296E8	8.8026E7	1.01301088E8	4.8279292E7	3.3788768E8	1.43428992E8	1.13725776E8	3.1113776E8	2.94000992E8	2.33903296E8	8.8026E7	1.01301088E8	4.8279292E7	3.3788768E8	1.43428992E8	1.13725776E8	3.1113776E8	2.94000992E8	2.33903296E8	
sp|Q1KMD3|HNRL2_HUMAN	Q1KMD3	HNRL2_HUMAN	HNRNPUL2	747	8.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein U-like protein 2	1.0000	0.9990	6	25	25	25	2	0	0	6	1	1	5	5	5	2	0	0	6	1	1	5	5	5	2	0	0	6	1	1	5	5	5	1.6933348E7	9748678.0	1.3500834E7	1.13839296E8	6.0090696E7	5.705066E7	9.9916328E7	1.0089976E8	7.1473392E7	1.6933348E7	9748678.0	1.3500834E7	1.13839296E8	6.0090696E7	5.705066E7	9.9916328E7	1.0089976E8	7.1473392E7	1.6933348E7	9748678.0	1.3500834E7	1.13839296E8	6.0090696E7	5.705066E7	9.9916328E7	1.0089976E8	7.1473392E7	
sp|Q29RF7|PDS5A_HUMAN	Q29RF7	PDS5A_HUMAN	PDS5A	1337	4.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sister chromatid cohesion protein PDS5 homolog A	1.0000	0.9990	6	12	11	12	0	0	0	4	1	0	3	3	1	0	0	0	4	1	0	3	2	1	0	0	0	4	1	0	3	3	1	0.0	0.0	0.0	2.45781248E8	3.9774284E7	1.86654E7	4.10794912E8	3.26784544E8	3.08890784E8	0.0	0.0	0.0	2.45781248E8	3.9774284E7	1.86654E7	4.10794912E8	3.26784544E8	3.08890784E8	0.0	0.0	0.0	2.45781248E8	3.9774284E7	1.86654E7	4.10794912E8	3.26784544E8	3.08890784E8	
sp|Q49A26|GLYR1_HUMAN	Q49A26	GLYR1_HUMAN	GLYR1	553	14.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Putative oxidoreductase GLYR1	1.0000	0.9990	6	19	14	19	0	0	0	6	0	0	4	7	2	0	0	0	4	0	0	3	5	2	0	0	0	6	0	0	4	7	2	5344712.0	0.0	0.0	1.75819744E8	1.76059568E8	1.39843248E8	2.30781888E8	2.03741728E8	1.48885392E8	5344712.0	0.0	0.0	1.5208168E8	1.46655328E8	1.23793168E8	2.01807216E8	1.7370984E8	1.33021096E8	5344712.0	0.0	0.0	1.75819744E8	1.76059568E8	1.39843248E8	2.30781888E8	2.03741728E8	1.48885392E8	
sp|Q53GQ0|DHB12_HUMAN	Q53GQ0	DHB12_HUMAN	HSD17B12	312	9.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Very-long-chain 3-oxoacyl-CoA reductase	1.0000	0.9990	2	6	6	6	0	0	0	2	1	0	0	1	2	0	0	0	2	1	0	0	1	2	0	0	0	2	1	0	0	1	2	0.0	0.0	0.0	3.695124E7	5.0489292E7	5.8020352E7	6.9976088E7	5.8628344E7	5.6995404E7	0.0	0.0	0.0	3.695124E7	5.0489292E7	5.8020352E7	6.9976088E7	5.8628344E7	5.6995404E7	0.0	0.0	0.0	3.695124E7	5.0489292E7	5.8020352E7	6.9976088E7	5.8628344E7	5.6995404E7	
sp|Q5BJF6|ODFP2_HUMAN	Q5BJF6	ODFP2_HUMAN	ODF2	829	3.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Outer dense fiber protein 2	1.0000	0.9990	3	10	10	10	0	1	0	1	3	0	0	2	3	0	1	0	1	3	0	0	2	3	0	1	0	1	3	0	0	2	3	0.0	0.0	0.0	0.0	3.4465296E7	2.2494198E7	3.071865E7	1.1268708E7	0.0	0.0	0.0	0.0	0.0	3.4465296E7	2.2494198E7	3.071865E7	1.1268708E7	0.0	0.0	0.0	0.0	0.0	3.4465296E7	2.2494198E7	3.071865E7	1.1268708E7	0.0	
sp|Q5BKZ1|ZN326_HUMAN	Q5BKZ1	ZN326_HUMAN	ZNF326	582	14.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	DBIRD complex subunit ZNF326	1.0000	0.9990	7	44	44	44	1	0	0	9	8	2	9	7	8	1	0	0	9	8	2	9	7	8	1	0	0	9	8	2	9	7	8	2.5587296E7	2.895736E7	3.9587456E7	2.31576064E8	1.85015232E8	1.56452576E8	2.4842816E8	2.78238528E8	1.75554928E8	2.5587296E7	2.895736E7	3.9587456E7	2.31576064E8	1.85015232E8	1.56452576E8	2.4842816E8	2.78238528E8	1.75554928E8	2.5587296E7	2.895736E7	3.9587456E7	2.31576064E8	1.85015232E8	1.56452576E8	2.4842816E8	2.78238528E8	1.75554928E8	
sp|Q5D862|FILA2_HUMAN	Q5D862	FILA2_HUMAN	FLG2	2391	1.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Filaggrin-2	1.0000	0.9990	2	3	3	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	5882404.5	0.0	0.0	0.0	0.0	1.40360032E8	1.6688637E7	4.2937304E7	0.0	5882404.5	0.0	0.0	0.0	0.0	1.40360032E8	1.6688637E7	4.2937304E7	0.0	5882404.5	0.0	0.0	0.0	0.0	1.40360032E8	1.6688637E7	4.2937304E7	0.0	
sp|Q5JRA6|TGO1_HUMAN	Q5JRA6	TGO1_HUMAN	MIA3	1907	1.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transport and Golgi organization protein 1 homolog	1.0000	0.9990	3	3	3	3	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	6044874.5	5310881.5	5484636.0	1.7545126E7	2.1566198E7	1.9934844E7	1.8137082E7	1.8248778E7	1.7742224E7	6044874.5	5310881.5	5484636.0	1.7545126E7	2.1566198E7	1.9934844E7	1.8137082E7	1.8248778E7	1.7742224E7	6044874.5	5310881.5	5484636.0	1.7545126E7	2.1566198E7	1.9934844E7	1.8137082E7	1.8248778E7	1.7742224E7	
sp|Q5JTD0|TJAP1_HUMAN	Q5JTD0	TJAP1_HUMAN	TJAP1	557	12.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tight junction-associated protein 1	1.0000	0.9990	6	21	21	21	0	0	0	8	1	0	3	8	1	0	0	0	8	1	0	3	8	1	0	0	0	8	1	0	3	8	1	0.0	0.0	0.0	1.065386E8	5.455696E7	3.7427144E7	1.22322928E8	1.24532856E8	2.389031E7	0.0	0.0	0.0	1.065386E8	5.455696E7	3.7427144E7	1.22322928E8	1.24532856E8	2.389031E7	0.0	0.0	0.0	1.065386E8	5.455696E7	3.7427144E7	1.22322928E8	1.24532856E8	2.389031E7	
sp|Q5JTH9|RRP12_HUMAN	Q5JTH9	RRP12_HUMAN	RRP12	1297	1.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	RRP12-like protein	1.0000	0.9990	3	6	6	6	0	0	0	0	1	0	0	3	2	0	0	0	0	1	0	0	3	2	0	0	0	0	1	0	0	3	2	0.0	0.0	0.0	4.831008E7	3.159164E7	3.478892E7	4.2951568E7	4.821568E7	3.5658868E7	0.0	0.0	0.0	4.831008E7	3.159164E7	3.478892E7	4.2951568E7	4.821568E7	3.5658868E7	0.0	0.0	0.0	4.831008E7	3.159164E7	3.478892E7	4.2951568E7	4.821568E7	3.5658868E7	
sp|Q5QJE6|TDIF2_HUMAN	Q5QJE6	TDIF2_HUMAN	DNTTIP2	756	9.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxynucleotidyltransferase terminal-interacting protein 2	1.0000	0.9990	4	10	10	10	0	0	0	2	0	0	2	3	3	0	0	0	2	0	0	2	3	3	0	0	0	2	0	0	2	3	3	0.0	0.0	3803640.5	8.9903704E7	6.7991888E7	3.7269424E7	7.03426E7	8.0893968E7	7.132652E7	0.0	0.0	3803640.5	8.9903704E7	6.7991888E7	3.7269424E7	7.03426E7	8.0893968E7	7.132652E7	0.0	0.0	3803640.5	8.9903704E7	6.7991888E7	3.7269424E7	7.03426E7	8.0893968E7	7.132652E7	
sp|Q5SSJ5|HP1B3_HUMAN	Q5SSJ5	HP1B3_HUMAN	HP1BP3	553	29.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterochromatin protein 1-binding protein 3	1.0000	0.9990	15	60	60	60	1	3	0	13	5	3	9	12	14	1	3	0	13	5	3	9	12	14	1	3	0	13	5	3	9	12	14	5.2097668E7	5.470412E7	6.7367048E7	2.24181456E8	1.9158488E8	1.45189264E8	2.16971008E8	2.4572192E8	2.45682656E8	5.2097668E7	5.470412E7	6.7367048E7	2.24181456E8	1.9158488E8	1.45189264E8	2.16971008E8	2.4572192E8	2.45682656E8	5.2097668E7	5.470412E7	6.7367048E7	2.24181456E8	1.9158488E8	1.45189264E8	2.16971008E8	2.4572192E8	2.45682656E8	
sp|Q5T200|ZC3HD_HUMAN	Q5T200	ZC3HD_HUMAN	ZC3H13	1668	2.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger CCCH domain-containing protein 13	1.0000	0.9983	6	16	16	16	0	0	0	4	2	1	4	3	2	0	0	0	4	2	1	4	3	2	0	0	0	4	2	1	4	3	2	0.0	0.0	0.0	5.6833912E7	1.5019613E7	1.4443725E7	5.4644368E7	4.9807856E7	0.0	0.0	0.0	0.0	5.6833912E7	1.5019613E7	1.4443725E7	5.4644368E7	4.9807856E7	0.0	0.0	0.0	0.0	5.6833912E7	1.5019613E7	1.4443725E7	5.4644368E7	4.9807856E7	0.0	
sp|Q5T749|KPRP_HUMAN	Q5T749	KPRP_HUMAN	KPRP	579	21.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Keratinocyte proline-rich protein	1.0000	0.9990	10	40	40	40	4	6	0	0	0	20	4	6	0	4	6	0	0	0	20	4	6	0	4	6	0	0	0	20	4	6	0	4.5379072E7	6.4807032E7	2.8884006E7	1.2170638E7	5.6919748E7	5.19933984E8	1.627948E8	1.42826496E8	6.0730196E7	4.5379072E7	6.4807032E7	2.8884006E7	1.2170638E7	5.6919748E7	5.19933984E8	1.627948E8	1.42826496E8	6.0730196E7	4.5379072E7	6.4807032E7	2.8884006E7	1.2170638E7	5.6919748E7	5.19933984E8	1.627948E8	1.42826496E8	6.0730196E7	
sp|Q5T750|XP32_HUMAN	Q5T750	XP32_HUMAN	XP32	250	8.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Skin-specific protein 32	1.0000	0.9990	3	4	4	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0.0	1.1913523E7	0.0	0.0	0.0	6.7191776E7	1.3339789E7	2.2078664E7	0.0	0.0	1.1913523E7	0.0	0.0	0.0	6.7191776E7	1.3339789E7	2.2078664E7	0.0	0.0	1.1913523E7	0.0	0.0	0.0	6.7191776E7	1.3339789E7	2.2078664E7	0.0	
sp|Q5TGY3|AHDC1_HUMAN	Q5TGY3	AHDC1_HUMAN	AHDC1	1603	26.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	AT-hook DNA-binding motif-containing protein 1	1.0000	0.9990	27	170	170	170	0	0	0	36	23	13	39	33	26	0	0	0	36	23	13	39	33	26	0	0	0	36	23	13	39	33	26	3.9585112E7	3.4559072E7	7504879.5	5.6941862E8	3.74873504E8	2.21460912E8	6.6382816E8	6.1870208E8	4.09302848E8	3.9585112E7	3.4559072E7	7504879.5	5.6941862E8	3.74873504E8	2.21460912E8	6.6382816E8	6.1870208E8	4.09302848E8	3.9585112E7	3.4559072E7	7504879.5	5.6941862E8	3.74873504E8	2.21460912E8	6.6382816E8	6.1870208E8	4.09302848E8	
sp|Q5VTL8|PR38B_HUMAN	Q5VTL8	PR38B_HUMAN	PRPF38B	546	2.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-splicing factor 38B	1.0000	0.9990	3	6	6	6	0	0	1	3	0	0	1	1	0	0	0	1	3	0	0	1	1	0	0	0	1	3	0	0	1	1	0	8828409.0	0.0	0.0	3.6643672E7	0.0	1.9992234E7	2.1555362E7	3.535448E7	0.0	8828409.0	0.0	0.0	3.6643672E7	0.0	1.9992234E7	2.1555362E7	3.535448E7	0.0	8828409.0	0.0	0.0	3.6643672E7	0.0	1.9992234E7	2.1555362E7	3.535448E7	0.0	
sp|Q5VUA4|ZN318_HUMAN	Q5VUA4	ZN318_HUMAN	ZNF318	2279	5.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 318	1.0000	0.9990	10	39	39	39	0	0	1	8	4	3	8	11	4	0	0	1	8	4	3	8	11	4	0	0	1	8	4	3	8	11	4	0.0	1420129.0	2056513.9	1.61977328E8	1.31137376E8	7.6283128E7	1.87701488E8	1.92792272E8	1.07818744E8	0.0	1420129.0	2056513.9	1.61977328E8	1.31137376E8	7.6283128E7	1.87701488E8	1.92792272E8	1.07818744E8	0.0	1420129.0	2056513.9	1.61977328E8	1.31137376E8	7.6283128E7	1.87701488E8	1.92792272E8	1.07818744E8	
sp|Q5VWN6|TASO2_HUMAN	Q5VWN6	TASO2_HUMAN	TASOR2	2430	1.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein TASOR 2	1.0000	0.9990	2	7	7	7	0	0	0	1	2	0	2	1	1	0	0	0	1	2	0	2	1	1	0	0	0	1	2	0	2	1	1	0.0	0.0	0.0	5.5248796E7	5.7034288E7	4.0223872E7	5.6491972E7	5.975824E7	4.5741908E7	0.0	0.0	0.0	5.5248796E7	5.7034288E7	4.0223872E7	5.6491972E7	5.975824E7	4.5741908E7	0.0	0.0	0.0	5.5248796E7	5.7034288E7	4.0223872E7	5.6491972E7	5.975824E7	4.5741908E7	
sp|Q5VWQ0|RSBN1_HUMAN	Q5VWQ0	RSBN1_HUMAN	RSBN1	802	4.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysine-specific demethylase 9	1.0000	0.9990	3	7	7	11	0	0	0	0	0	0	2	4	1	0	0	0	0	0	0	2	4	1	0	0	0	1	0	0	2	6	2	0.0	0.0	0.0	1.7145332E7	0.0	0.0	1.5157302E7	8699298.0	0.0	0.0	0.0	0.0	1.7145332E7	0.0	0.0	1.5157302E7	8699298.0	0.0	0.0	0.0	0.0	1.7145332E7	0.0	0.0	1.5157302E7	8699298.0	0.0	
sp|Q5VZL5|ZMYM4_HUMAN	Q5VZL5	ZMYM4_HUMAN	ZMYM4	1548	6.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger MYM-type protein 4	1.0000	0.9990	9	35	29	35	0	0	0	10	3	1	10	5	6	0	0	0	8	3	1	9	3	5	0	0	0	10	3	1	10	5	6	1.8794672E7	9589862.0	0.0	2.68672896E8	2.2030536E8	1.44900368E8	3.10895392E8	2.569716E8	2.32310896E8	1.5345686E7	9589862.0	0.0	2.5057704E8	1.99864288E8	1.20311768E8	2.87631872E8	2.45543744E8	2.093372E8	1.8794672E7	9589862.0	0.0	2.68672896E8	2.2030536E8	1.44900368E8	3.10895392E8	2.569716E8	2.32310896E8	
sp|Q63HK5|TSH3_HUMAN	Q63HK5	TSH3_HUMAN	TSHZ3	1081	3.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Teashirt homolog 3	1.0000	0.9990	3	9	9	9	0	0	0	3	0	0	2	3	1	0	0	0	3	0	0	2	3	1	0	0	0	3	0	0	2	3	1	5665957.5	4185533.0	6248349.0	4.3454168E7	3.682928E7	1.6064779E7	5.0377032E7	4.3602656E7	3.4466544E7	5665957.5	4185533.0	6248349.0	4.3454168E7	3.682928E7	1.6064779E7	5.0377032E7	4.3602656E7	3.4466544E7	5665957.5	4185533.0	6248349.0	4.3454168E7	3.682928E7	1.6064779E7	5.0377032E7	4.3602656E7	3.4466544E7	
sp|Q68DK7|MSL1_HUMAN	Q68DK7	MSL1_HUMAN	MSL1	614	11.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Male-specific lethal 1 homolog	1.0000	0.9990	6	24	24	24	0	0	0	6	2	0	4	9	3	0	0	0	6	2	0	4	9	3	0	0	0	6	2	0	4	9	3	6357965.5	2777042.2	3137495.2	1.5912696E8	8.470016E7	7.3081296E7	1.61171552E8	1.47878016E8	7.0950352E7	6357965.5	2777042.2	3137495.2	1.5912696E8	8.470016E7	7.3081296E7	1.61171552E8	1.47878016E8	7.0950352E7	6357965.5	2777042.2	3137495.2	1.5912696E8	8.470016E7	7.3081296E7	1.61171552E8	1.47878016E8	7.0950352E7	
sp|Q69YH5|CDCA2_HUMAN	Q69YH5	CDCA2_HUMAN	CDCA2	1023	8.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cell division cycle-associated protein 2	1.0000	0.9990	6	15	15	15	0	0	0	5	0	0	3	5	2	0	0	0	5	0	0	3	5	2	0	0	0	5	0	0	3	5	2	0.0	0.0	0.0	7.4742464E7	5.4796368E7	4.0343088E7	9.9207872E7	7.9370032E7	6.4952112E7	0.0	0.0	0.0	7.4742464E7	5.4796368E7	4.0343088E7	9.9207872E7	7.9370032E7	6.4952112E7	0.0	0.0	0.0	7.4742464E7	5.4796368E7	4.0343088E7	9.9207872E7	7.9370032E7	6.4952112E7	
sp|Q6KC79|NIPBL_HUMAN	Q6KC79	NIPBL_HUMAN	NIPBL	2804	1.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nipped-B-like protein	1.0000	0.9990	5	14	13	14	0	0	0	3	1	0	2	5	3	0	0	0	2	1	0	2	5	3	0	0	0	3	1	0	2	5	3	1628046.4	3481666.5	0.0	6.7047676E7	3.7230708E7	1.8536486E7	8.9294152E7	5.5352712E7	3.613676E7	1628046.4	3481666.5	0.0	4.44224E7	1.8336488E7	1.8536486E7	5.9491324E7	2.3176656E7	2.0115406E7	1628046.4	3481666.5	0.0	6.7047676E7	3.7230708E7	1.8536486E7	8.9294152E7	5.5352712E7	3.613676E7	
sp|Q6P2E9|EDC4_HUMAN	Q6P2E9	EDC4_HUMAN	EDC4	1401	22.40	Homo sapiens OX=9606	1:Experimental evidence at protein level	Enhancer of mRNA-decapping protein 4	1.0000	0.9990	21	70	70	70	0	0	0	14	4	2	22	19	9	0	0	0	14	4	2	22	19	9	0	0	0	14	4	2	22	19	9	0.0	0.0	0.0	3.79615808E8	1.57069392E8	1.87799232E8	4.67475552E8	4.16225728E8	1.98913504E8	0.0	0.0	0.0	3.79615808E8	1.57069392E8	1.87799232E8	4.67475552E8	4.16225728E8	1.98913504E8	0.0	0.0	0.0	3.79615808E8	1.57069392E8	1.87799232E8	4.67475552E8	4.16225728E8	1.98913504E8	
sp|Q6PCB5|RSBNL_HUMAN	Q6PCB5	RSBNL_HUMAN	RSBN1L	846	6.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Lysine-specific demethylase RSBN1L	1.0000	0.9990	4	10	6	10	0	0	0	3	0	0	3	3	1	0	0	0	2	0	0	3	1	0	0	0	0	3	0	0	3	3	1	0.0	1100557.8	1760519.0	1.6818236E7	1.3473329E7	9531806.0	2.4525168E7	1.4835957E7	7909912.0	0.0	1100557.8	1760519.0	1.6818236E7	1.3473329E7	9531806.0	2.4525168E7	1.4835957E7	7909912.0	0.0	1100557.8	1760519.0	1.6818236E7	1.3473329E7	9531806.0	2.4525168E7	1.4835957E7	7909912.0	
sp|Q6PJG2|MDEAS_HUMAN	Q6PJG2	MDEAS_HUMAN	MIDEAS	1045	1.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitotic deacetylase-associated SANT domain protein	1.0000	0.9990	1	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0.0	629972.1	0.0	9258888.0	4890486.5	0.0	0.0	3728346.2	1953769.1	0.0	629972.1	0.0	9258888.0	4890486.5	0.0	0.0	3728346.2	1953769.1	0.0	629972.1	0.0	9258888.0	4890486.5	0.0	0.0	3728346.2	1953769.1	
sp|Q6PKG0|LARP1_HUMAN	Q6PKG0	LARP1_HUMAN	LARP1	1096	3.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	La-related protein 1	1.0000	0.9990	2	4	4	4	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0.0	0.0	0.0	1.1248941E7	7614494.0	0.0	0.0	4394001.0	0.0	0.0	0.0	0.0	1.1248941E7	7614494.0	0.0	0.0	4394001.0	0.0	0.0	0.0	0.0	1.1248941E7	7614494.0	0.0	0.0	4394001.0	0.0	
