Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Spectral Count	20220119_C27283_008_S353679_M_1 Spectral Count	20220119_C27283_010_S353680_M_2 Spectral Count	20220119_C27283_012_S353681_M_3 Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Unique Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Unique Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Unique Spectral Count	20220119_C27283_008_S353679_M_1 Unique Spectral Count	20220119_C27283_010_S353680_M_2 Unique Spectral Count	20220119_C27283_012_S353681_M_3 Unique Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Total Spectral Count	20220119_C27283_004_S353677_B-GFP_02 Total Spectral Count	20220119_C27283_006_S353678_B-GFP_03 Total Spectral Count	20220119_C27283_008_S353679_M_1 Total Spectral Count	20220119_C27283_010_S353680_M_2 Total Spectral Count	20220119_C27283_012_S353681_M_3 Total Spectral Count	20220119_C27283_002_S353676_B-GFP_01 Intensity	20220119_C27283_004_S353677_B-GFP_02 Intensity	20220119_C27283_006_S353678_B-GFP_03 Intensity	20220119_C27283_008_S353679_M_1 Intensity	20220119_C27283_010_S353680_M_2 Intensity	20220119_C27283_012_S353681_M_3 Intensity	20220119_C27283_002_S353676_B-GFP_01 Unique Intensity	20220119_C27283_004_S353677_B-GFP_02 Unique Intensity	20220119_C27283_006_S353678_B-GFP_03 Unique Intensity	20220119_C27283_008_S353679_M_1 Unique Intensity	20220119_C27283_010_S353680_M_2 Unique Intensity	20220119_C27283_012_S353681_M_3 Unique Intensity	20220119_C27283_002_S353676_B-GFP_01 Total Intensity	20220119_C27283_004_S353677_B-GFP_02 Total Intensity	20220119_C27283_006_S353678_B-GFP_03 Total Intensity	20220119_C27283_008_S353679_M_1 Total Intensity	20220119_C27283_010_S353680_M_2 Total Intensity	20220119_C27283_012_S353681_M_3 Total Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Unique Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Unique Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Unique Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Unique Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Unique Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Unique Intensity	20220119_C27283_002_S353676_B-GFP_01 MaxLFQ Total Intensity	20220119_C27283_004_S353677_B-GFP_02 MaxLFQ Total Intensity	20220119_C27283_006_S353678_B-GFP_03 MaxLFQ Total Intensity	20220119_C27283_008_S353679_M_1 MaxLFQ Total Intensity	20220119_C27283_010_S353680_M_2 MaxLFQ Total Intensity	20220119_C27283_012_S353681_M_3 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|Q93Y08|AB1K8_ARATH	Q93Y08	AB1K8_ARATH	ABC1K8	761	9.90	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Protein ACTIVITY OF BC1 COMPLEX KINASE 8, chloroplastic	1.0000	0.9990	6	14	14	14	5	6	3	0	0	0	5	6	3	0	0	0	5	6	3	0	0	0	1.3012398E7	2.439921E7	4123518.8	0.0	0.0	0.0	1.3012398E7	2.439921E7	4123518.8	0.0	0.0	0.0	1.3012398E7	2.439921E7	4123518.8	0.0	0.0	0.0	3855865.2	1.0502144E7	4222902.0	0.0	0.0	0.0	3855865.2	1.0502144E7	4222902.0	0.0	0.0	0.0	3855865.2	1.0502144E7	4222902.0	0.0	0.0	0.0	
sp|Q949Q5|PSAO_ARATH	Q949Q5	PSAO_ARATH	PSAO	140	17.90	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Photosystem I subunit O	1.0000	0.9990	2	14	14	14	3	3	3	3	0	2	3	3	3	3	0	2	3	3	3	3	0	2	1.8730494E7	3.9721864E7	3211073.8	2.1300606E7	0.0	9561443.0	1.8730494E7	3.9721864E7	3211073.8	2.1300606E7	0.0	9561443.0	1.8730494E7	3.9721864E7	3211073.8	2.1300606E7	0.0	9561443.0	1.0659425E7	2.797589E7	0.0	1.0126293E7	0.0	5607748.5	1.0659425E7	2.797589E7	0.0	1.0126293E7	0.0	5607748.5	1.0659425E7	2.797589E7	0.0	1.0126293E7	0.0	5607748.5	
sp|Q94A41|AMY3_ARATH	Q94A41	AMY3_ARATH	AMY3	887	2.70	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Alpha-amylase 3, chloroplastic	1.0000	0.9990	3	5	5	5	2	3	0	0	0	0	2	3	0	0	0	0	2	3	0	0	0	0	3660005.0	5988862.0	0.0	0.0	0.0	393555.62	3660005.0	5988862.0	0.0	0.0	0.0	393555.62	3660005.0	5988862.0	0.0	0.0	0.0	393555.62	2277940.5	3735241.8	0.0	0.0	0.0	0.0	2277940.5	3735241.8	0.0	0.0	0.0	0.0	2277940.5	3735241.8	0.0	0.0	0.0	0.0	
sp|Q95748|NDUS3_ARATH	Q95748	NDUS3_ARATH	NAD9	190	27.90	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3	1.0000	0.9990	5	17	0	17	4	4	2	3	1	3	0	0	0	0	0	0	4	4	2	3	1	3	1.3408699E7	4.0296516E7	7714116.0	1.2294622E7	5380192.5	1.1190582E7	0.0	0.0	0.0	0.0	0.0	0.0	1.3408699E7	4.0296516E7	7714116.0	1.2294622E7	5380192.5	1.1190582E7	6583905.5	1.997235E7	4480475.0	6089460.0	2475167.0	5543119.0	0.0	0.0	0.0	0.0	0.0	0.0	6583905.5	1.997235E7	4480475.0	6089460.0	2475167.0	5543119.0	tr|A0A2P2CLF6|A0A2P2CLF6_ARATH
sp|Q96250|ATPG3_ARATH	Q96250	ATPG3_ARATH	ATPC	325	9.20	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	ATP synthase subunit gamma, mitochondrial	1.0000	0.9990	2	3	3	3	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	3170683.2	0.0	0.0	0.0	0.0	1111995.5	3170683.2	0.0	0.0	0.0	0.0	1111995.5	3170683.2	0.0	0.0	0.0	0.0	1111995.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9C514|RS71_ARATH	Q9C514	RS71_ARATH	RPS7A	191	8.90	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	40S ribosomal protein S7-1	1.0000	0.9965	2	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9C5C2|BGL37_ARATH	Q9C5C2	BGL37_ARATH	TGG2	547	5.90	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Myrosinase 2	1.0000	0.9976	3	7	7	7	2	2	1	0	0	2	2	2	1	0	0	2	2	2	1	0	0	2	5007060.0	1.0268679E7	2122427.5	0.0	0.0	5221387.0	5007060.0	1.0268679E7	2122427.5	0.0	0.0	5221387.0	5007060.0	1.0268679E7	2122427.5	0.0	0.0	5221387.0	2606792.8	4885569.5	0.0	0.0	0.0	4922885.0	2606792.8	4885569.5	0.0	0.0	0.0	4922885.0	2606792.8	4885569.5	0.0	0.0	0.0	4922885.0	
sp|Q9C5M0|DTC_ARATH	Q9C5M0	DTC_ARATH	DTC	298	7.00	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Mitochondrial dicarboxylate/tricarboxylate transporter DTC	1.0000	0.9961	2	3	3	3	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	5778697.0	8984347.0	0.0	0.0	0.0	5772987.0	5778697.0	8984347.0	0.0	0.0	0.0	5772987.0	5778697.0	8984347.0	0.0	0.0	0.0	5772987.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9FIJ4|RD522_ARATH	Q9FIJ4	RD522_ARATH	RAD52-2	199	19.10	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	DNA repair RAD52-like protein 2, chloroplastic	1.0000	0.9990	2	3	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9FKC0|R13A4_ARATH	Q9FKC0	R13A4_ARATH	RPL13AD	206	13.10	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	60S ribosomal protein L13a-4	1.0000	0.9990	2	4	0	4	1	2	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	8659146.0	1.2285272E7	0.0	0.0	1994003.9	3818885.5	0.0	0.0	0.0	0.0	0.0	0.0	8659146.0	1.2285272E7	0.0	0.0	1994003.9	3818885.5	7613395.0	1.2004589E7	0.0	0.0	1107003.1	3351975.8	0.0	0.0	0.0	0.0	0.0	0.0	7613395.0	1.2004589E7	0.0	0.0	1107003.1	3351975.8	sp|Q9LRX8|R13A2_ARATH, sp|Q9SFU1|R13A1_ARATH, sp|Q9SVR0|R13A3_ARATH, tr|F4JD96|F4JD96_ARATH
sp|Q9FMF7|DIT21_ARATH	Q9FMF7	DIT21_ARATH	DIT2-1	563	3.90	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Dicarboxylate transporter 2.1, chloroplastic	1.0000	0.9970	2	6	6	6	1	1	1	1	0	2	1	1	1	1	0	2	1	1	1	1	0	2	4557255.5	7796849.5	2596983.5	1886480.2	0.0	2963668.2	4557255.5	7796849.5	2596983.5	1886480.2	0.0	2963668.2	4557255.5	7796849.5	2596983.5	1886480.2	0.0	2963668.2	4638227.5	0.0	0.0	0.0	0.0	2911930.0	4638227.5	0.0	0.0	0.0	0.0	2911930.0	4638227.5	0.0	0.0	0.0	0.0	2911930.0	
sp|Q9FZA2|AGP31_ARATH	Q9FZA2	AGP31_ARATH	AGP31	359	6.40	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Non-classical arabinogalactan protein 31	1.0000	0.9990	2	2	2	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9LJG3|ESM1_ARATH	Q9LJG3	ESM1_ARATH	ESM1	392	15.50	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	GDSL esterase/lipase ESM1	1.0000	0.9990	3	4	0	4	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	2	1904429.6	0.0	0.0	0.0	0.0	1802928.8	0.0	0.0	0.0	0.0	0.0	0.0	1904429.6	0.0	0.0	0.0	0.0	1802928.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A1I9LQL1|A0A1I9LQL1_ARATH
sp|Q9LUM3|SBT15_ARATH	Q9LUM3	SBT15_ARATH	SBT1.5	775	15.50	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Subtilisin-like protease SBT1.5	1.0000	0.9990	7	12	12	12	3	7	2	0	0	0	3	7	2	0	0	0	3	7	2	0	0	0	4.981478E7	7.3961912E7	2.2806584E7	0.0	8395727.0	1189163.5	4.981478E7	7.3961912E7	2.2806584E7	0.0	8395727.0	1189163.5	4.981478E7	7.3961912E7	2.2806584E7	0.0	8395727.0	1189163.5	2.0580954E7	5.7053128E7	1.1327235E7	0.0	3278495.8	1809867.5	2.0580954E7	5.7053128E7	1.1327235E7	0.0	3278495.8	1809867.5	2.0580954E7	5.7053128E7	1.1327235E7	0.0	3278495.8	1809867.5	
sp|Q9LVJ1|SBT14_ARATH	Q9LVJ1	SBT14_ARATH	SBT1.4	777	24.30	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Subtilisin-like protease SBT1.4	1.0000	0.9990	10	28	28	28	7	3	4	4	2	8	7	3	4	4	2	8	7	3	4	4	2	8	3.7710352E7	1.029922E8	4.0431896E7	5044572.0	5554886.0	3.6137608E7	3.7710352E7	1.029922E8	4.0431896E7	5044572.0	5554886.0	3.6137608E7	3.7710352E7	1.029922E8	4.0431896E7	5044572.0	5554886.0	3.6137608E7	2.2322168E7	4.0260076E7	2.0063364E7	7174760.5	4565742.0	1.5138366E7	2.2322168E7	4.0260076E7	2.0063364E7	7174760.5	4565742.0	1.5138366E7	2.2322168E7	4.0260076E7	2.0063364E7	7174760.5	4565742.0	1.5138366E7	
sp|Q9LXV3|DIT1_ARATH	Q9LXV3	DIT1_ARATH	DIT1	557	27.50	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Dicarboxylate transporter 1, chloroplastic	1.0000	0.9990	9	42	0	42	7	11	9	9	2	4	0	0	0	0	0	0	7	11	9	9	2	4	2.7371714E7	9.592788E7	2.9525746E7	5.5717788E7	3558116.2	1.2381233E7	0.0	0.0	0.0	0.0	0.0	0.0	2.7371714E7	9.592788E7	2.9525746E7	5.5717788E7	3558116.2	1.2381233E7	1.3842835E7	4.7570764E7	1.916307E7	4.4668236E7	2226560.0	6202105.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3842835E7	4.7570764E7	1.916307E7	4.4668236E7	2226560.0	6202105.0	tr|B3H4S6|B3H4S6_ARATH
sp|Q9M2U2|TECR_ARATH	Q9M2U2	TECR_ARATH	ECR	310	11.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Very-long-chain enoyl-CoA reductase	1.0000	0.9990	2	4	4	4	1	2	0	1	0	0	1	2	0	1	0	0	1	2	0	1	0	0	3598725.2	1.8595532E7	0.0	6571318.5	0.0	0.0	3598725.2	1.8595532E7	0.0	6571318.5	0.0	0.0	3598725.2	1.8595532E7	0.0	6571318.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9M8Z8|PLY8_ARATH	Q9M8Z8	PLY8_ARATH	At3g07010	416	6.30	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Probable pectate lyase 8	1.0000	0.9990	2	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A1I9LSL6|A0A1I9LSL6_ARATH
sp|Q9MA15|AB1K3_ARATH	Q9MA15	AB1K3_ARATH	ABC1K3	711	3.00	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic	1.0000	0.9990	2	5	5	5	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	6387119.0	1.6721127E7	0.0	1440987.1	1991629.8	6279184.0	6387119.0	1.6721127E7	0.0	1440987.1	1991629.8	6279184.0	6387119.0	1.6721127E7	0.0	1440987.1	1991629.8	6279184.0	3994803.8	1.002494E7	0.0	0.0	1176683.1	3910831.8	3994803.8	1.002494E7	0.0	0.0	1176683.1	3910831.8	3994803.8	1.002494E7	0.0	0.0	1176683.1	3910831.8	
sp|Q9S7E4|FDH_ARATH	Q9S7E4	FDH_ARATH	FDH1	384	5.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Formate dehydrogenase, chloroplastic/mitochondrial	1.0000	0.9979	2	3	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	5945879.0	0.0	0.0	0.0	2215970.2	5153371.0	0.0	0.0	0.0	0.0	0.0	0.0	5945879.0	0.0	0.0	0.0	2215970.2	5153371.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A1P8B9L1|A0A1P8B9L1_ARATH, tr|A0A1P8B9N1|A0A1P8B9N1_ARATH
sp|Q9S7N7|PSAG_ARATH	Q9S7N7	PSAG_ARATH	PSAG	160	34.40	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Photosystem I reaction center subunit V, chloroplastic	1.0000	0.9990	3	9	9	9	2	1	2	1	1	2	2	1	2	1	1	2	2	1	2	1	1	2	3.4427336E7	8.3457064E7	2.6933592E7	3.4893088E7	1677506.6	8112677.0	3.4427336E7	8.3457064E7	2.6933592E7	3.4893088E7	1677506.6	8112677.0	3.4427336E7	8.3457064E7	2.6933592E7	3.4893088E7	1677506.6	8112677.0	1.7865274E7	4.578636E7	1.3541654E7	0.0	0.0	8988746.0	1.7865274E7	4.578636E7	1.3541654E7	0.0	0.0	8988746.0	1.7865274E7	4.578636E7	1.3541654E7	0.0	0.0	8988746.0	
sp|Q9SCY2|FKB13_ARATH	Q9SCY2	FKB13_ARATH	FKBP13	208	13.50	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase FKBP13, chloroplastic	1.0000	0.9990	3	8	8	8	2	2	1	1	0	2	2	2	1	1	0	2	2	2	1	1	0	2	3.2450992E7	5.8595656E7	4461651.0	2578943.2	1387381.1	3.412264E7	3.2450992E7	5.8595656E7	4461651.0	2578943.2	1387381.1	3.412264E7	3.2450992E7	5.8595656E7	4461651.0	2578943.2	1387381.1	3.412264E7	1.887689E7	3.4040108E7	0.0	0.0	0.0	1.9224154E7	1.887689E7	3.4040108E7	0.0	0.0	0.0	1.9224154E7	1.887689E7	3.4040108E7	0.0	0.0	0.0	1.9224154E7	
sp|Q9SHE8|PSAF_ARATH	Q9SHE8	PSAF_ARATH	PSAF	221	29.40	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Photosystem I reaction center subunit III, chloroplastic	1.0000	0.9990	6	48	48	48	7	11	9	7	6	8	7	11	9	7	6	8	7	11	9	7	6	8	1.66989296E8	3.85352544E8	1.27674784E8	1.30913344E8	1.9940432E7	7.019752E7	1.66989296E8	3.85352544E8	1.27674784E8	1.30913344E8	1.9940432E7	7.019752E7	1.66989296E8	3.85352544E8	1.27674784E8	1.30913344E8	1.9940432E7	7.019752E7	8.8973872E7	1.88739776E8	8.1402176E7	4.3510568E7	1.2603724E7	3.3724068E7	8.8973872E7	1.88739776E8	8.1402176E7	4.3510568E7	1.2603724E7	3.3724068E7	8.8973872E7	1.88739776E8	8.1402176E7	4.3510568E7	1.2603724E7	3.3724068E7	
sp|Q9SMV6|XPO1A_ARATH	Q9SMV6	XPO1A_ARATH	XPO1	1075	9.40	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Protein EXPORTIN 1A	1.0000	0.9990	3	7	7	7	0	2	1	4	0	0	0	2	1	4	0	0	0	2	1	4	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9SSS9|ATPD_ARATH	Q9SSS9	ATPD_ARATH	ATPD	234	16.70	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	ATP synthase subunit delta, chloroplastic	1.0000	0.9990	3	8	8	8	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	1.5495874E7	9088692.0	2418499.5	1654016.6	2271802.5	7061297.5	1.5495874E7	9088692.0	2418499.5	1654016.6	2271802.5	7061297.5	1.5495874E7	9088692.0	2418499.5	1654016.6	2271802.5	7061297.5	1.077038E7	0.0	0.0	0.0	1425241.6	5058054.0	1.077038E7	0.0	0.0	0.0	1425241.6	5058054.0	1.077038E7	0.0	0.0	0.0	1425241.6	5058054.0	
sp|Q9STF2|PTA16_ARATH	Q9STF2	PTA16_ARATH	PTAC16	510	23.70	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Protein PLASTID TRANSCRIPTIONALLY ACTIVE 16, chloroplastic	1.0000	0.9990	7	17	17	17	5	5	4	0	0	3	5	5	4	0	0	3	5	5	4	0	0	3	3.0355924E7	2.5338096E7	7519980.5	0.0	2940505.0	6566251.0	3.0355924E7	2.5338096E7	7519980.5	0.0	2940505.0	6566251.0	3.0355924E7	2.5338096E7	7519980.5	0.0	2940505.0	6566251.0	1.0595292E7	1.4976674E7	4596905.5	0.0	1181298.2	2310900.0	1.0595292E7	1.4976674E7	4596905.5	0.0	1181298.2	2310900.0	1.0595292E7	1.4976674E7	4596905.5	0.0	1181298.2	2310900.0	
sp|Q9SUI5|PSAK_ARATH	Q9SUI5	PSAK_ARATH	PSAK	130	7.70	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Photosystem I reaction center subunit psaK, chloroplastic	1.0000	0.9990	2	5	5	5	1	2	0	1	0	1	1	2	0	1	0	1	1	2	0	1	0	1	4.1558668E7	5.1710128E7	0.0	5543274.0	3498969.8	1.300138E7	4.1558668E7	5.1710128E7	0.0	5543274.0	3498969.8	1.300138E7	4.1558668E7	5.1710128E7	0.0	5543274.0	3498969.8	1.300138E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q9SV20|COPB2_ARATH	Q9SV20	COPB2_ARATH	At4g31490	948	3.70	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Coatomer subunit beta-2	1.0000	0.9990	3	5	0	5	3	0	1	1	0	0	0	0	0	0	0	0	3	0	1	1	0	0	2244708.2	3698592.8	0.0	0.0	94246.86	1173533.2	0.0	0.0	0.0	0.0	0.0	0.0	2244708.2	3698592.8	0.0	0.0	94246.86	1173533.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9SV21|COPB1_ARATH, tr|A0A1P8B4C2|A0A1P8B4C2_ARATH
sp|Q9SY97|LHCA3_ARATH	Q9SY97	LHCA3_ARATH	LHCA3	273	60.10	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Photosystem I chlorophyll a/b-binding protein 3-1, chloroplastic	1.0000	0.9990	8	39	39	39	7	13	8	4	2	5	7	13	8	4	2	5	7	13	8	4	2	5	1.96447744E8	2.94209952E8	7.4067224E7	1.1031481E7	9154706.0	7.9027424E7	1.96447744E8	2.94209952E8	7.4067224E7	1.1031481E7	9154706.0	7.9027424E7	1.96447744E8	2.94209952E8	7.4067224E7	1.1031481E7	9154706.0	7.9027424E7	5.5188456E7	9.6206048E7	2.0368438E7	3.5146808E7	6506591.0	3.4969752E7	5.5188456E7	9.6206048E7	2.0368438E7	3.5146808E7	6506591.0	3.4969752E7	5.5188456E7	9.6206048E7	2.0368438E7	3.5146808E7	6506591.0	3.4969752E7	
sp|Q9XF88|CB4B_ARATH	Q9XF88	CB4B_ARATH	LHCB4.2	287	59.90	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Chlorophyll a-b binding protein CP29.2, chloroplastic	1.0000	0.9990	9	31	23	31	8	9	5	3	2	4	6	7	5	1	2	2	8	9	5	3	2	4	8.5792608E7	1.2159172E8	3.4922604E7	1.3293384E7	4175565.8	1.7191428E7	8.5384912E7	1.14792616E8	3.4922604E7	8294413.5	3370906.0	1.5730941E7	8.5792608E7	1.2159172E8	3.4922604E7	1.3293384E7	4175565.8	1.7191428E7	3.1195564E7	5.6772056E7	2.2773078E7	9361709.0	2592088.0	8470220.0	5.1577228E7	7.7038944E7	2.2773078E7	5116484.5	1952781.4	9169241.0	3.1195564E7	5.6772056E7	2.2773078E7	9361709.0	2592088.0	8470220.0	
sp|Q9XF89|CB5_ARATH	Q9XF89	CB5_ARATH	LHCB5	280	64.60	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Chlorophyll a-b binding protein CP26, chloroplastic	1.0000	0.9990	17	54	54	54	13	17	8	4	3	9	13	17	8	4	3	9	13	17	8	4	3	9	1.16157032E8	2.00769392E8	3.4281148E7	3.0438776E7	4166705.5	4.1960048E7	1.16157032E8	2.00769392E8	3.4281148E7	3.0438776E7	4166705.5	4.1960048E7	1.16157032E8	2.00769392E8	3.4281148E7	3.0438776E7	4166705.5	4.1960048E7	4.7774812E7	7.8720032E7	2.134245E7	2.9419268E7	3482424.8	1.8844636E7	4.7774812E7	7.8720032E7	2.134245E7	2.9419268E7	3482424.8	1.8844636E7	4.7774812E7	7.8720032E7	2.134245E7	2.9419268E7	3482424.8	1.8844636E7	
sp|Q9XFT3|PSBQ1_ARATH	Q9XFT3	PSBQ1_ARATH	PSBQ1	224	29.00	Arabidopsis thaliana OX=3702	1:Experimental evidence at protein level	Oxygen-evolving enhancer protein 3-1, chloroplastic	1.0000	0.9990	5	12	12	12	2	2	1	0	1	6	2	2	1	0	1	6	2	2	1	0	1	6	2.5584748E7	7.1721056E7	4365311.5	0.0	3709384.5	5.2103456E7	2.5584748E7	7.1721056E7	4365311.5	0.0	3709384.5	5.2103456E7	2.5584748E7	7.1721056E7	4365311.5	0.0	3709384.5	5.2103456E7	1.7095724E7	2.8875412E7	0.0	0.0	1603351.5	2.7218938E7	1.7095724E7	2.8875412E7	0.0	0.0	1603351.5	2.7218938E7	1.7095724E7	2.8875412E7	0.0	0.0	1603351.5	2.7218938E7	
sp|Q9ZPY7|XPO2_ARATH	Q9ZPY7	XPO2_ARATH	CAS	972	3.30	Arabidopsis thaliana OX=3702	2:Experimental evidence at transcript level	Exportin-2	1.0000	0.9990	4	4	4	4	0	3	0	1	0	0	0	3	0	1	0	0	0	3	0	1	0	0	8545104.0	1.749373E7	0.0	0.0	2959891.5	5039199.0	8545104.0	1.749373E7	0.0	0.0	2959891.5	5039199.0	8545104.0	1.749373E7	0.0	0.0	2959891.5	5039199.0	6239285.5	1.1850685E7	0.0	0.0	2116166.8	0.0	6239285.5	1.1850685E7	0.0	0.0	2116166.8	0.0	6239285.5	1.1850685E7	0.0	0.0	2116166.8	0.0	
